Date,Not indexed,Indexed,Impressions
2026-05-14,,,388
2026-05-15,2310,166,366
2026-05-16,1984,173,366
2026-05-17,1984,173,385
2026-05-18,1984,173,518
2026-05-19,1730,172,332
2026-05-20,1730,172,457
2026-05-21,1730,172,339
2026-05-22,1730,172,287
2026-05-23,1653,177,290
2026-05-24,1653,177,456
2026-05-25,1653,177,585
2026-05-26,1627,171,431
2026-05-27,1627,171,552
2026-05-28,1627,171,582
2026-05-29,1627,171,583
2026-05-30,1632,150,656
2026-05-31,1632,150,641
2026-06-01,1632,150,798
2026-06-02,1530,136,547
2026-06-03,1530,136,578
2026-06-04,1530,136,636
2026-06-05,1530,136,480
2026-06-06,1466,149,439
2026-06-07,1466,149,535
2026-06-08,1466,149,1046
2026-06-09,1425,162,584
2026-06-10,1425,162,514
2026-06-11,1425,162,639
2026-06-12,1425,162,499
2026-06-13,1280,143,575
2026-06-14,1280,143,625
2026-06-15,1280,143,895
2026-06-16,1280,143,759
2026-06-17,1280,143,828
2026-06-18,1280,143,944
2026-06-19,1280,143,883
2026-06-20,1280,143,946
2026-06-21,1280,143,934
2026-06-22,1280,143,950
2026-06-23,1280,143,621
2026-06-24,1280,143,750
2026-06-25,1280,143,519
2026-06-26,1280,143,542
2026-06-27,1280,143,518
2026-06-28,1280,143,545
2026-06-29,1280,143,626
2026-06-30,1280,143,663
2026-07-01,1054,126,518
2026-07-02,1054,126,517
2026-07-03,1054,126,355
2026-07-04,1054,126,356
2026-07-05,1054,126,401
2026-07-06,1054,126,503
2026-07-07,1054,126,376
2026-07-08,1054,126,468
2026-07-09,1054,126,494
2026-07-10,1054,126,473
2026-07-11,1001,73,342
2026-07-12,1001,73,405
2026-07-13,1001,73,674
2026-07-14,1001,73,367
2026-07-15,1001,73,321
2026-07-16,1001,73,188
2026-07-17,1001,73,117
2026-07-18,1001,73,95
2026-07-19,1001,73,125
2026-07-20,1001,73,89
2026-07-21,1001,73,137
2026-07-22,1001,73,82
2026-07-23,1001,73,116
2026-07-24,1001,73,101
2026-07-25,989,40,61
2026-07-26,989,40,59
2026-07-27,989,40,56
2026-07-28,989,40,48
2026-07-29,989,40,56
2026-07-30,989,40,43
2026-07-31,989,40,64
2026-08-01,989,40,377
2026-08-02,989,40,334
2026-08-03,989,40,184
2026-08-04,989,40,40
2026-08-05,989,40,42
2026-08-06,990,35,46
2026-08-07,990,35,39
