Reason,Source,Validation,Pages
Page with redirect,Website,Not Started,252
Excluded by ‘noindex’ tag,Website,Not Started,138
Not found (404),Website,Not Started,101
Redirect error,Website,Not Started,5
Soft 404,Website,Not Started,3
Blocked due to access forbidden (403),Website,Not Started,3
Alternate page with proper canonical tag,Website,Not Started,3
Blocked by robots.txt,Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,480
"Duplicate, Google chose different canonical than user",Google systems,Not Started,4
Server error (5xx),Website,N/A,0
Duplicate without user-selected canonical,Website,N/A,0
Discovered - currently not indexed,Google systems,N/A,0
